Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
GrainChain,"AgTech, Blockchain, Financial Services, FinTech, Trading Platform","Mcallen, Texas, United States",GrainChain creates an exchange platform with blockchain-based solutions for prompt payment and accountability.,30768
XTRA,"Artificial Intelligence, Fitness, Software, Wellness","New York, New York, United States",XTRA helps enterprises generating and analyzing movement form and posture data across use cases,30769
AeroFarms,"Agriculture, AgTech, CleanTech, Hospitality","Newark, New Jersey, United States",AeroFarms is an urban cleantech company that provides aeroponic growing systems to produce plants without sun or soil.,30770
Third Space Learning,"E-Learning, Education, Social Entrepreneurship","London, England, United Kingdom","Third Space aims to help every student access great quality online tuition to help them succeed in, and love, their learning",30771
Smarkets,"Financial Exchanges, FinTech, Sports","London, England, United Kingdom",Smarkets simplifies peer-to-peer trading on sporting and political events.,30772
iSignthis,"Banking, FinTech, Identity Management, Internet, Payments","Melbourne, Victoria, Australia","iSignthis Ltd is the global leader in dynamic, remote AML/CFT KYC enhanced due diligence identity proofing.",30773
RE:harvest,Food and Beverage,"Seoul, Seoul-t'ukpyolsi, South Korea",Food upcycling company based in Korea,30774
Predictive Oncology,"Health Care, Health Diagnostics, Medical, Pharmaceutical","Eagan, Minnesota, United States","Predictive Oncology is working with the pharmaceutical, diagnostic, and biotech industries to develop customizable assessment methods.",30775
Zetland Capital,Financial Services,"London, England, United Kingdom",Zetland Capital investing in mid-market European special situations across a wide range of sectors with a focus on tangible assets.,30776
Cometh,,"Paris, Ile-de-France, France",Cometh is the Blockchain game development studio.,30777
Aakash Educational Services,"E-Learning, EdTech, Education, Primary Education","New Delhi, Delhi, India",Aakash Educational Services provides quality coaching and guidance for Engineering Entrance Examination.,30778
NurseGrid,"Health Care, Hospital, SaaS, Scheduling, Software","Portland, Oregon, United States",Nursegrid is a create digital communication and collaboration tools.,30779
Guideline,"Finance, Financial Services, FinTech, Insurance","San Mateo, California, United States",Guideline is a retirement plan platform that offers the all-inclusive 401(k) and full-stack solution for growing businesses.,30780
Involves,Enterprise Software,"Florianópolis, Santa Catarina, Brazil","Disrupting retail execution with Involves Stage, the leading SaaS for retail execution monitoring and intelligence in Latin America.",30781
Hana Financial,"Financial Services, Lending","Los Angeles, California, United States",National non-bank specialty lender.,30782
Alongside,"Enterprise Software, Human Resources, Recruiting, SaaS, Software","Moncton, New Brunswick, Canada",Alongside humanizes the online hiring experience by improving the way job seekers and employers discover each other.,30783
NetObjex,"Artificial Intelligence, Asset Management, Blockchain, FinTech, Information Technology, Internet of Things, Machine Learning, Smart Cities, Software","Irvine, California, United States","NetObjex's Matrix Digital Asset-as-a-Service (DAaaS) platform enables enterprises to manage their digital assets using IoT, AI, and DLT",30784
Pixelz,"E-Commerce, Photography","San Francisco, California, United States","Pixelz is the leading product image editing service for internet retailers, bloggers, designers, photographers, and webmasters.",30785
Covey,"CRM, Information Technology, Software","San Francisco, California, United States","Covey is a recruiting platform that helps recruiters and hiring managers to find, identify, and attract the right talent.",30786
DialogTech,"Analytics, Enterprise Software, Marketing Automation, SaaS, Software, Telecommunications","Chicago, Illinois, United States",DialogTech provides actionable marketing analytics for businesses that value phone calls.,30787
NuGEN Technologies,"Analytics, Biotechnology, Genetics, Health Care","San Carlos, California, United States",NuGEN Technology is a provider of genomics sample preparation solutions enabling scientists to access true biology in all samples.,30788
CANbridge Pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Beijing, Beijing, China",CANbridge Pharmaceuticals is a bio-pharmaceutical company accelerating development and commercialization of specialty healthcare .,30789
Keyera,"Energy, Oil and Gas","Calgary, Alberta, Canada",Keyera is one of the largest midstream operators in Canada.,30790
End Game Interactive,"Developer Platform, Gamification, Gaming","Bellevue, Washington, United States",End Game Interactive initially built third-party apps for games such as Pokévision.,30791
LenioBio,Biotechnology,"Düsseldorf, Nordrhein-Westfalen, Germany","LenioBio develops rapid plant-based, cell-free protein expression that scales for research, development and production.",30792
AdWallet,"Apps, Mobile, Mobile Apps, Social Media","Albuquerque, New Mexico, United States",AdWallet operates as a direct to consumer marketing and research platform that rewards consumers for their time and attention.,30793
Claro,"Analytics, Big Data, Human Resources, SaaS","Nashua, New Hampshire, United States","Claro is a global labor market intelligence platform, like Bloomberg for human capital information.",30794
Curofy,"Health Care, Hospital, Medical","Gurgaon, Haryana, India", Curofy is a medical networking app that enables communication between doctors.,30795
KaryaKarsa,"Content Creators, Digital Entertainment, E-Commerce, Media and Entertainment","Singapore, Central Region, Singapore","KaryaKarsa helps creators sell books, comics, audio and other digital goods directly to their fan communities - Publishing SaaS.",30796
Reuniwatt,"Big Data, Energy, Energy Management, Information Technology, Renewable Energy, Solar","Paris, Ile-de-France, France","Solar power forecasting; cloud observation; solar radiation estimation and forecasting using satellites, all sky cameras, and NWP",30797
Moichor,"Health Care, Health Diagnostics, Information Technology, Veterinary","San Francisco, California, United States",The next generation of animal diagnostics.,30798
Biosyngen,Biotechnology,"Singapore, Central Region, Singapore",Biosyngen is scientific research company.,30799
Gympass,"Employee Benefits, Fitness, Human Resources, Wellness","New York, New York, United States",Gympass is a fitness discovery platform connecting the world's network of fitness facilities to companies and its employees.,30800
Right Pedal LendOS,"Commercial Lending, FinTech","Miami, Florida, United States",Right Pedal LendOS is a fintech company aiming to modernize the commercial lending market,30801
PocketSuite,"Accounting, FinTech, Mobile Payments, Payments, Scheduling, Software","San Francisco, California, United States","PocketSuite is a single app providing client scheduling, payment messaging tools to service professionals.",30802
Try.com,"Credit, E-Commerce, Fashion, Web Design, Web Development, Web Hosting","San Francisco, California, United States","Try clothes for free from online stores such as Nordstrom, Revolve and Zara. Featured in Forbes, Business Insider and Refinery29. ",30803
InnaMed,"Health Care, Medical Device, Small and Medium Businesses","Philadelphia, Pennsylvania, United States","Launching HomeLab, a gateway to personalized healthcare in the comfort and privacy of your home. Measure + Analyze + Enhance.",30804
hey Japan,"Accounting, Content, Finance, Marketing, Reservations, Software","Tokyo, Tokyo, Japan",hey is aiming to support economic development driven by fun and was born through the management integration,30805
TRIYO,"Analytics, B2B, Document Management, Enterprise Software, Finance, Information Technology, Productivity Tools, SaaS, Software","Toronto, Ontario, Canada",Capturing Enterprise Communication Activity to Deliver Data Intelligence,30806
The Sandbox,"Blockchain, Cryptocurrency, Online Games, Trading Platform, Video Games","San Francisco, California, United States",The Sandbox develops a decentralized gaming platform that leverages non-fungible tokens and blockchain technology.,30807
VersaFleet,"Apps, B2B, Enterprise Software, Logistics, Mobile, SaaS, Software, Transportation","Singapore, Central Region, Singapore",VersaFleet™ is a transport management system (TMS) Software-as-a-Service (SaaS) that digitalizes & automates supply chains worldwide.,30808
Confirmtkt,"Information Services, Internet, Search Engine, Ticketing, Travel","Bengaluru, Karnataka, India",Confirmtkt is a travel ticket search engine that provides a seamless ticket discovery and booking experience.,30809
BluEarth Renewables,"Clean Energy, Energy, Renewable Energy","Calgary, Alberta, Canada",BluEarth’s ongoing growth and investment in renewable energy projects,30810
